feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	233	internal	fun	BranchBrowserSheet	@Composable | @OptIn(ExperimentalMaterial3Api::class)
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	293	private	fun	SectionLabel	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	302	private	fun	BranchCard	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	360	internal	fun	SubagentResultSheet	@Composable | @OptIn(ExperimentalMaterial3Api::class)
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	535	private	fun	subagentTaskDetails	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	543	private	fun	MiniBadge	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	551	internal	fun	RuntimeTimelineSheet	@Composable | @OptIn(ExperimentalMaterial3Api::class)
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	762	private	fun	CollapsibleRuntimeSectionCard	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	822	internal	class	RoundGroup	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	834	internal	interface	TimelineEntry	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	858	internal	fun	buildRoundGroups	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	948	private	fun	RoundSection	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1042	private	fun	RoundEntryRow	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1151	private	fun	ToolExpandContent	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1166	private	fun	AssistantExpandContent	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1182	private	fun	PayloadBox	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1220	private	fun	StatPill	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1244	private	fun	RuntimeEventRow	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1282	private	class	EventVisual	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1285	private	fun	eventVisual	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1342	internal	fun	QueuedPromptStack	@Composable | @OptIn(ExperimentalMaterial3Api::class)
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1417	internal	fun	CreateBranchDialog	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1446	private	fun	formatEventTime	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1447	private	fun	formatPanelDuration	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1449	private	val	PAYLOAD_JSON	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1451	private	fun	prettyArgs	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1454	internal	fun	limitDiagnosticText	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1464	internal	fun	sanitizeModelResponseForDiagnostics	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1505	private	val	MAX_DIAGNOSTIC_TEXT_CHARS	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	1506	private	val	DIAGNOSTIC_PREVIEW_LINES	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\CompactionBanner.kt	44	internal	fun	CompactionBanner	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ContextUsageRing.kt	49	public	fun	ContextUsageRing	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ContextUsageRing.kt	177	private	fun	UsageBreakdownRow	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ContextUsageRing.kt	201	private	fun	formatContextTokens	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\MarkdownText.kt	104	internal	val	LocalSandboxHostRoots	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\MarkdownText.kt	107	private	fun	resolveMediaSource	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\MarkdownText.kt	132	public	fun	MarkdownText	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\MarkdownText.kt	175	private	interface	MdBlock	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\MarkdownText.kt	177	private	class	MdParagraph	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\MarkdownText.kt	178	private	class	MdHeading	
